Date,S,E,I,R,All exposed,Daily exposed,Daily admissions,Daily remissions,Daily deaths,All admissions,All remissions,All deaths,Active cases
2020-05-30,61728973.67981635,201479.24159094016,84143.16829869592,4385404.910293995,4671027.320183631,41694.106281617656,2068.5952478452473,1790.8786913786344,472.2241336268396,183857.8304006158,133309.1197147579,30493.266985638413,20055.443700219508
2020-05-31,61687647.91387222,199416.0450198074,83064.24827921472,4429872.792828747,4712353.086127769,41325.76594413817,2047.2536087835488,1773.9679307555823,468.1287982967175,185905.08400939938,135083.08764551347,30961.39578393513,19860.600579950773
2020-06-01,61646837.946307525,197301.37979536547,82046.9036691521,4473814.770227941,4753163.053692458,40809.967564688995,2025.8975884122376,1757.0176615149112,464.0130688653707,187930.98159781162,136840.1053070284,31425.4088528005,19665.467437982727
2020-06-02,61606675.02976701,194947.23655619676,81290.33693359312,4517088.396743185,4793325.970232975,40162.91654051654,2004.5775481839482,1740.034808761158,459.87871061331964,189935.55914599556,138580.14011578955,31885.28756341382,19470.131466792194
2020-06-03,61566945.14887641,192654.77622185118,80477.79905722119,4559923.275844497,4833055.8511235695,39729.880890594795,1983.3146499712434,1723.0265983180116,455.727439433988,191918.8737959668,140303.16671410756,32341.01500284781,19274.692079011424
2020-06-04,61527576.633307576,190523.2986247569,79505.15143447477,4602395.916633175,4872424.366692406,39368.51556883659,1962.077467746277,1705.9994654135223,451.56093215371186,193880.95126371307,142009.16617952107,32792.57593500152,19079.20914919048
2020-06-05,61488646.027976245,188441.83988010668,78490.35116132312,4644422.780982312,4911354.972023741,38930.60533133522,1940.8453370567734,1688.9586424619788,447.3808492433918,195821.79660076986,143698.12482198304,33239.95678424491,18883.7149945419
2020-06-06,61450305.7457061,186191.71826630388,77665.19402659519,4685838.342000991,4949695.254293891,38340.28227014933,1919.641026041818,1671.9090353875777,443.1888346354565,197741.43762681168,145370.0338573706,33683.145618880364,18688.2581505607
2020-06-07,61412430.23560951,183948.11825911643,76845.40118173418,4726777.244949628,4987570.764390478,37875.51009658724,1898.4927377114216,1654.856202649077,438.98649415029627,199639.93036452308,147024.89006001968,34122.13211303066,18492.908191472743
2020-06-08,61374951.08575168,181805.11691129685,75932.14685306659,4767312.650483942,5025049.914248305,37479.14985782746,1877.3945725904225,1637.8061518288898,434.7753815475195,201517.3249371135,148662.69621184858,34556.90749457818,18297.721230686737
