Date,S,E,I,R,All exposed,Daily exposed,Daily cases,Daily recoveries,Daily deaths,All cases,All recoveries,All deaths,Active cases
2020-02-07,66399985.644615695,8.64715523973627,2.363618377872984,4.344610690113112,15.355384307722364,3.6464197302311856,0.013679013494679326,9.92418550382895e-06,5.168244117714288e-05,0.030999158735279916,1.2318418294507396e-05,7.77206433429852e-05,0.030909119673642422
2020-02-08,66399980.90813605,11.241059306679972,3.072713487292509,5.77809116102039,20.09186395499287,4.736479647270507,0.0199276094039575,3.545842776981047e-05,0.00011645323517719372,0.05092676813923741,4.777684606431787e-05,0.00019417387852017893,0.050684817414652916
2020-02-09,66399974.74831284,14.615127031727862,3.9942179482115105,7.6423421839262975,26.251687163865668,6.1598232088727976,0.02781774738888443,0.00010204840212003129,0.0002305006918688141,0.07874451552812184,0.00014982524818434915,0.00042467457038899303,0.07817001570954848
2020-02-10,66399966.7413487,19.001799999941397,5.191226475343244,10.065624831626359,34.258651306911,8.00696414304533,0.03778623049303207,0.0002486633891842175,0.00041374979119443894,0.1165307460211539,0.0003984886373685667,0.000838424361583432,0.1152938330222019
2020-02-11,66399956.34041239,24.697137136532252,6.74901440319414,13.213436070771436,44.65958761049783,10.400936303586832,0.05044642335711155,0.0005316916544974594,0.0006889972006520399,0.16697716937826546,0.0009301802918660261,0.0015274215622354719,0.16451956752416394
2020-02-12,66399942.81099602,32.104648608818636,8.776282484096125,17.30807289234143,58.18900398525619,13.529416374758362,0.06662379505369785,0.0010244914230968015,0.0010824780902092676,0.23360096443196332,0.0019546717149628275,0.0026098996524447395,0.22903639306455575
2020-02-13,66399925.205473594,41.75238117465679,11.405812966892324,22.636332268216943,75.79452640976606,17.60552242450987,0.08740612898922938,0.0018156759219353762,0.0016252211514486093,0.3210070934211927,0.0037703476368982037,0.004235120803893349,0.3130016249804012
2020-02-14,66399902.326750375,54.296228381130476,14.816508780624785,29.560512464408138,98.6732496261634,22.878723216397333,0.11421723708545731,0.003007842910975681,0.0023552330379792747,0.43522433050665,0.006778190547873885,0.006590353841872624,0.4218557861169035
2020-02-15,66399872.652148545,70.54479707888608,19.2616056141568,38.54144876210552,128.3478514551484,29.674601828985004,0.14891150911091397,0.004718491858382101,0.0033205358622979846,0.584135839617564,0.011496682406255985,0.009910889704170608,0.5627282675071373
2020-02-16,66399834.05849127,91.65906006540915,25.06073014429379,50.22171852816694,166.94150873786987,38.593657282721466,0.19388682311117547,0.007084419632142669,0.004583124329941816,0.7780226627287394,0.018581102038398654,0.014494014034112424,0.7449475466562283
2020-02-17,66399783.802845635,119.16654834219494,32.59913653703016,65.431469488022,217.1971543672471,50.25564562937723,0.2522403646489612,0.010270295596518916,0.006223978887453397,1.0302630273777007,0.02885139763491757,0.02071799292156582,0.9806936368212172
2020-02-18,66399718.365696475,155.07791891266322,42.32049903945743,85.23588557954459,282.63430353166524,65.43714916441814,0.3280060324271176,0.014481684529770169,0.008349353075865587,1.3582690598048184,0.04333308216468774,0.02906734599743141,1.2858686316426993
2020-02-19,66399633.37240135,201.7259046650859,54.94273790121886,110.95895608926178,367.62759865556654,84.9932951239013,0.4264596529808667,0.019982650295270903,0.011098686606444617,1.784728712785685,0.06331573245995864,0.04016603260387602,1.6812469477218503
