Date,S,E,I,R,All exposed,Daily exposed,Daily cases,Daily recoveries,Daily deaths,All cases,All recoveries,All deaths,Active cases
2020-04-04,65289616.03996478,145225.44718497386,65681.51823656094,899477.9946136856,1110384.9600352205,24599.234020675067,1965.262819971765,1486.5741292469047,235.1796350956493,31400.962596737678,11993.969230438195,1680.2878402613521,17726.705526038128
2020-04-05,65266249.00277867,137919.1036578214,62399.61590834839,933433.2776551659,1133751.9972213358,23367.03718611528,1888.746031677245,1555.157705685229,256.0915136718247,33289.708628414926,13549.126936123424,1936.3793539331768,17804.202338358326
2020-04-06,65244047.38072762,130995.99996993823,59251.28303825417,965706.3362641942,1155953.6192723867,22201.622051050887,1808.2189210912043,1604.130293192236,275.79198695099836,35097.92754950613,15153.25722931566,2212.171340884175,17732.498979306292
2020-04-07,65222966.81864604,124417.32043294009,56256.924723195276,996359.9361978238,1177034.1813539593,21080.5620815726,1726.0962343170283,1633.1417331874584,293.88271691386257,36824.023783823155,16786.39896250312,2506.054057798038,17531.570763521995
2020-04-08,65202976.72533994,118129.11856750726,53458.155759080546,1025437.0003334726,1197024.2746600604,19990.09330610116,1644.1700032447889,1643.029789727592,310.03379872279913,38468.19378706795,18429.428752230713,2816.087856520837,17222.677178316397
2020-04-09,65184004.170135915,112144.11227861173,50810.49313277461,1053042.2244527023,1215996.8298640887,18972.555204028264,1563.7124120086596,1635.5638127185844,323.99411847586913,40031.906199076606,20064.992564949298,3140.081974996706,16826.831659130603
2020-04-10,65165971.3339222,106486.95971355682,48255.06998283586,1079287.6363814124,1234029.666077805,18032.836213716306,1485.5781102905694,1613.1255687993628,335.59531405473814,41517.48430936717,21678.11813374866,3475.677289051444,16363.68888656707
2020-04-11,65148825.75029247,101149.39316534236,45777.386788589,1104248.4697536018,1251175.2497075333,17145.583629728295,1410.3081449929202,1578.3941512168353,344.75015246790554,42927.7924543601,23256.512284965494,3820.4274415193495,15850.852727875252
2020-04-12,65132540.460987315,96089.97488826659,43407.62969005361,1127962.9344343645,1267460.5390126847,16285.28930515144,1338.22079550374,1534.0800320724018,351.4464841383158,44266.013249863834,24790.592317037896,4171.8739256576655,15303.547007168272
2020-04-13,65117112.961145155,91235.63094281744,41218.65664781978,1150433.7512642096,1282888.0388548467,15427.499842162011,1269.4757156784606,1482.7293429053354,355.73806671212753,45535.488965542296,26273.32165994323,4527.611992369793,14734.555313229272
2020-04-14,65102494.287562214,86584.8225027837,39190.502223167794,1171731.3877118393,1297506.7124377908,14618.673582944088,1204.111999558642,1426.6004747590152,357.7335166088041,46739.60096510094,27699.922134702247,4885.3455089785975,14154.333321420094
2020-04-15,65088598.89376944,82192.9754331946,37229.38989701313,1191979.7409003538,1311402.1062305614,13895.39379277057,1142.0745329201475,1367.603482566208,357.5844933029693,47881.67549802108,29067.525617268453,5242.930002281567,13571.219878471064
2020-04-16,65075383.151829585,78057.78841422033,35318.33715104951,1211241.7226051523,1324617.848170422,13215.741939860629,1083.24949142538,1307.2876331855311,355.47400010073164,48964.92498944646,30374.813250453983,5598.404002382298,12991.707736610178
2020-04-17,65062838.50216204,74129.1280076847,33504.175392090096,1229529.194438189,1337162.4978379637,12544.64966754173,1027.5019585575112,1246.8615756519387,351.6054481594878,49992.42694800397,31621.674826105922,5950.009450541786,12420.742671356265
2020-04-18,65050960.25558707,70354.33434012056,31837.97254350249,1246848.4375293104,1349040.7444129335,11878.24657496973,974.6928152675683,1187.2322243659387,346.1929177886016,50967.11976327154,32808.90705047186,6296.202368330387,11862.010344469292
2020-04-19,65039680.82011872,66775.27246516394,30247.400894544484,1263297.506521574,1360320.1798812824,11279.435468348907,924.6759155430354,1129.051497289855,339.45287303491864,51891.795678814575,33937.958547761715,6635.655241365305,11318.181889687556
